date,token,price,marketCap,total,share,z,x,c,v,b,n,m
2021-01-01,SOL,4.264143944,2.277052866,929.0924819,0.002450836,0.344897985,44.27599335,33114.35938,1314.986206,4.264143944,0.492314011,929.0924819
2021-02-01,SOL,13.08924675,6.989657765,1267.107704,0.00551623,1.308058977,209.5744019,45137.76953,1416.04895,13.08924675,0.414952993,1267.107704
2021-03-01,SOL,19.46522903,10.3944323,1649.428751,0.006301838,1.193264008,302.063446,58918.83203,1918.362061,19.46522903,0.57386899,1649.428751
2021-04-01,SOL,42.95600128,22.93850468,1913.40667,0.011988306,1.352449059,624.0805664,57750.17578,2773.207031,42.95600128,1.59167397,1913.40667
2021-05-01,SOL,32.81624603,17.52387538,1381.322188,0.012686306,1.742777944,354.3293457,37332.85547,2714.945313,32.81624603,1.04658401,1381.322188
2021-06-01,SOL,35.55640411,18.98711979,1221.414311,0.015545192,1.383471966,303.2958679,35040.83594,2274.547607,35.55640411,0.70637399,1221.414311
2021-07-01,SOL,36.82731247,19.66578486,1399.228779,0.014054732,1.322345018,333.5495911,41626.19531,2536.209961,36.82731247,0.747785985,1399.228779
2021-08-01,SOL,108.4837723,57.93033441,1797.100079,0.032235453,2.772475004,464.4187317,47166.6875,3433.732666,108.4837723,1.187592983,1797.100079
2021-09-01,SOL,141.069046,75.33087056,1623.248672,0.046407474,2.114451885,387.0573425,43790.89453,3001.678955,141.069046,0.952636003,1623.248672
2021-10-01,SOL,202.4210205,108.0928249,2215.388434,0.048791816,1.965026021,524.3644409,61318.95703,4288.074219,202.4210205,1.113247037,2215.388434
2021-11-01,SOL,208.67099,111.4303087,2159.119083,0.051609154,1.55490303,622.6698608,57005.42578,4631.479004,208.67099,0.998754025,2159.119083
2021-12-01,SOL,170.2990723,90.93970461,1750.04896,0.051964092,1.310209036,511.708313,46306.44531,3682.632813,170.2990723,0.831162989,1750.04896
2022-01-01,SOL,99.7388382,53.2605396,1368.523098,0.038918261,1.052302957,375.2773132,38483.125,2688.278809,99.7388382,0.619149029,1368.523098
2022-02-01,SOL,99.5203476,53.14386562,1511.224114,0.035166105,0.959828019,395.6124268,43193.23438,2919.201172,99.5203476,0.782043993,1511.224114
2022-03-01,SOL,122.6614609,65.50122012,1634.478786,0.040074684,1.141850948,428.9161072,45538.67578,3281.642822,122.6614609,0.81456399,1634.478786
2022-04-01,SOL,85.09593201,45.44122769,1333.558573,0.034075164,0.756659985,377.7678223,37714.875,2730.186768,85.09593201,0.587091029,1333.558573
2022-05-01,SOL,45.76784134,24.44002728,1059.669596,0.023063819,0.625253975,320.4851074,31792.31055,1942.328003,45.76784134,0.421867013,1059.669596
2022-06-01,SOL,33.58841705,17.9362147,659.2115321,0.027208588,0.458849013,219.3000946,19784.72656,1067.298828,33.58841705,0.331447989,659.2115321
2022-07-01,SOL,42.4002037,22.64170878,832.6110081,0.027193622,0.517019987,283.5794678,23336.89648,1681.517334,42.4002037,0.380457997,832.6110081
2022-08-01,SOL,31.4729557,16.80655834,733.091279,0.022925601,0.446664989,279.2380981,20049.76367,1553.684937,31.4729557,0.327870011,733.091279
2022-09-01,SOL,33.21244431,17.73544526,709.591365,0.024993885,0.434413999,284.1922913,19431.78906,1327.978638,33.21244431,0.479773998,709.591365
2022-10-01,SOL,32.61103821,17.4142944,766.7652594,0.022711376,0.40633601,326.3607178,20495.77344,1572.714478,32.61103821,0.465914994,766.7652594
2022-11-01,SOL,14.11544514,7.537647705,638.9713079,0.011796535,0.318883002,300.794342,17168.56641,1295.688599,14.11544514,0.408742994,638.9713079
2022-12-01,SOL,13.5801878,7.251820285,628.9482052,0.011530075,0.311677009,286.0904236,17133.15234,1264.28479,13.5801878,0.389153004,628.9482052
2022-12-12,SOL,13.31736851,7.111474784,627.7330525,0.01132882,0.306406289,275.8238831,17168.67773,1271.338623,13.28114414,0.385584325,627.7330525
2017-01-01,XRP,0.006314,0.6314,22.29716332,0.028317503,0,0,970.4030151,10.72749996,0,0.006314,22.29716332
2017-02-01,XRP,0.005536,0.5536,27.23103333,0.020329746,0,0,1179.969971,15.81719971,0,0.005536,27.23103333
2017-03-01,XRP,0.020888999,2.0888999,30.60096674,0.068262546,0,0,1071.790039,50.03730011,0,0.020888999,30.60096674
2017-04-01,XRP,0.051607002,5.1607002,42.94893472,0.12015898,0,0,1347.890015,79.02120209,0,0.051607002,42.94893472
2017-05-01,XRP,0.246590003,24.6590003,100.3538893,0.245720425,0,0,2286.409912,230.6690063,0,0.246590003,100.3538893
2017-06-01,XRP,0.262930006,26.2930006,113.7805606,0.231085174,0,0,2480.840088,294.9159851,0,0.262930006,113.7805606
2017-07-01,XRP,0.167385995,16.7385995,101.5852616,0.164773898,0,0,2875.340088,203.8710022,0,0.167385995,101.5852616
2017-08-01,XRP,0.255629987,25.5629987,170.7399886,0.149718873,0,2.203789949,4703.390137,383.0419922,0,0.255629987,170.7399886
2017-09-01,XRP,0.197529003,19.7529003,147.298325,0.134101323,0,1.283579946,4338.709961,301.4649963,0,0.197529003,147.298325
2017-10-01,XRP,0.200558007,20.0558007,194.2299214,0.103258039,0.030437,1.312890053,6468.399902,305.8789978,0,0.200558007,194.2299214
