Date,GOLD,SPX
27/10/2021,1802.487793,4551.680176
28/10/2021,1801.937866,4596.419922
29/10/2021,1782.107788,4605.379883
30/10/2021,1786.802368,
31/10/2021,1779.961792,
01/11/2021,1791.763428,4613.669922
02/11/2021,1791.56665,4630.649902
03/11/2021,1779.253296,4660.569824
04/11/2021,1793.724976,4680.060059
05/11/2021,1819.751953,4697.529785
06/11/2021,1819.352295,
07/11/2021,1819.772217,
08/11/2021,1827.908447,4701.700195
09/11/2021,1832.244141,4685.25
10/11/2021,1852.269409,4646.709961
11/11/2021,1865.524536,4649.27002
12/11/2021,1869.005981,4682.850098
13/11/2021,1873.739258,
14/11/2021,1872.424438,
15/11/2021,1869.060425,4682.799805
16/11/2021,1858.549316,4700.899902
17/11/2021,1867.307861,4688.669922
18/11/2021,1859.179077,4704.540039
19/11/2021,1846.729492,4697.959961
20/11/2021,1842.467041,
21/11/2021,1845.209351,
22/11/2021,1811.94812,4682.939941
23/11/2021,1792.428589,4690.700195
24/11/2021,1799.129639,4701.459961
25/11/2021,1791.500244,
26/11/2021,1795.910522,4594.620117
27/11/2021,1794.458862,
28/11/2021,1793.496338,
29/11/2021,1791.392578,4655.27002
30/11/2021,1776.724121,4567
01/12/2021,1784.495605,4513.040039
02/12/2021,1770.735107,4577.100098
03/12/2021,1782.218506,4538.430176
04/12/2021,1779.20752,
05/12/2021,1783.886719,
06/12/2021,1783.58606,4591.669922
07/12/2021,1788.828125,4686.75
08/12/2021,1785.869873,4701.209961
09/12/2021,1774.942871,4667.450195
10/12/2021,1787.291016,4712.02002
11/12/2021,1786.18811,
12/12/2021,1785.006226,
13/12/2021,1789.22876,4668.970215
14/12/2021,1776.036621,4634.089844
15/12/2021,1779.759644,4709.850098
16/12/2021,1801.194214,4668.669922
17/12/2021,1803.522339,4620.640137
18/12/2021,1803.586426,
19/12/2021,1803.596313,
20/12/2021,1797.57019,4568.02002
21/12/2021,1794.196289,4649.22998
22/12/2021,1807.686768,4696.560059
23/12/2021,1816.697998,4725.790039
24/12/2021,1819.149414,
25/12/2021,1815.890015,
26/12/2021,1815.052979,
27/12/2021,1817.374634,4791.189941
28/12/2021,1814.299683,4786.350098
29/12/2021,1812.343872,4793.060059
30/12/2021,1825.786865,4778.72998
31/12/2021,1833.609131,4766.180176
01/01/2022,1836.606812,
02/01/2022,1835.926636,
03/01/2022,1809.311157,4796.560059
04/01/2022,1816.170654,4793.540039
05/01/2022,1817.994141,4700.580078
06/01/2022,1798.189331,4696.049805
07/01/2022,1804.817383,4677.029785
08/01/2022,1799.217163,
09/01/2022,1798.555054,
10/01/2022,1806.085205,4670.290039
11/01/2022,1823.639893,4713.069824
12/01/2022,1833.202148,4726.350098
13/01/2022,1825.422607,4659.029785
14/01/2022,1827.743652,4662.850098
15/01/2022,1824.599243,
16/01/2022,1825.530273,
17/01/2022,1824.005615,
18/01/2022,1820.078247,4577.109863
19/01/2022,1846.56543,4532.759766
20/01/2022,1843.808105,4482.72998
21/01/2022,1841.040527,4397.939941
22/01/2022,1841.426514,
23/01/2022,1843.734009,
24/01/2022,1848.915527,4410.129883
25/01/2022,1860.280396,4356.450195
26/01/2022,1838.990601,4349.930176
27/01/2022,1811.380005,4326.509766
28/01/2022,1798.825684,4431.850098
29/01/2022,1800.191772,
30/01/2022,1799.668701,
31/01/2022,1806.449585,4515.549805
01/02/2022,1808.416748,4546.540039
02/02/2022,1813.202026,4589.379883
03/02/2022,1813.848511,4477.439941
04/02/2022,1818.55542,4500.529785
05/02/2022,1818.000488,
06/02/2022,1817.729004,
07/02/2022,1824.659668,4483.870117
08/02/2022,1830.749023,4521.540039
09/02/2022,1839.468506,4587.180176
10/02/2022,1834.20813,4504.080078
11/02/2022,1870.147461,4418.640137
12/02/2022,1874.189941,
13/02/2022,1883.418335,
14/02/2022,1882.347412,4401.669922
15/02/2022,1858.87793,4471.069824
16/02/2022,1877.211914,4475.009766
17/02/2022,1916.026001,4380.259766
18/02/2022,1914.976563,4348.870117
