Date,BTC,PAXG
2022-06-19,20553.27148,1842.924438
2022-06-20,20599.53711,1846.912842
2022-06-21,20710.59766,1835.442139
2022-06-22,19987.0293,1841.505005
2022-06-23,21085.87695,1828.680054
2022-06-24,21231.65625,1824.953857
2022-06-25,21502.33789,1824.493042
2022-06-26,21027.29492,1830.399658
2022-06-27,20735.47852,1828.347534
2022-06-28,20280.63477,1822.885864
2022-06-29,20104.02344,1823.15332
2022-06-30,19784.72656,1814.808228
2022-07-01,19269.36719,1807.823608
2022-07-02,19242.25586,1812.982056
2022-07-03,19297.07617,1812.249878
2022-07-04,20231.26172,1813.07312
2022-07-05,20190.11523,1770.947266
2022-07-06,20548.24609,1743.622681
2022-07-07,21637.58789,1744.089478
2022-07-08,21731.11719,1744.218872
2022-07-09,21592.20703,1739.738647
2022-07-10,20860.44922,1743.069336
2022-07-11,19970.55664,1733.929932
2022-07-12,19323.91406,1726.21582
2022-07-13,20212.07422,1736.992554
2022-07-14,20569.91992,1714.470459
2022-07-15,20836.32813,1705.360718
2022-07-16,21190.31641,1699.880249
2022-07-17,20779.34375,1705.802124
2022-07-18,22485.68945,1707.932251
2022-07-19,23389.43359,1706.46936
2022-07-20,23231.73242,1697.112671
2022-07-21,23164.62891,1716.708008
2022-07-22,22714.97852,1728.111816
2022-07-23,22465.47852,1726.191406
2022-07-24,22609.16406,1724.220459
2022-07-25,21361.70117,1717.254883
2022-07-26,21239.75391,1719.162842
2022-07-27,22930.54883,1736.020996
2022-07-28,23843.88672,1749.390503
2022-07-29,23804.63281,1764.184937
2022-07-30,23656.20703,1764.895996
2022-07-31,23336.89648,1762.634033
2022-08-01,23314.19922,1771.241943
2022-08-02,22978.11719,1752.777466
2022-08-03,22846.50781,1759.644897
2022-08-04,22630.95703,1789.282104
2022-08-05,23289.31445,1774.188843
