Date,Price
2019-10-01,23.96
2019-09-01,23.93
2019-08-01,24.78
2019-07-01,24.22
2019-04-01,25.66
2019-03-01,25.28
2019-02-01,27.37
12/31/2018,27.06
12/28/2018,27.02
12/27/2018,27.08
12/24/2018,27.25
12/21/2018,26.97
12/20/2018,26.53
12/19/2018,26.67
12/18/2018,26.42
12/17/2018,26.69
12/14/2018,25.76
12/13/2018,24.65
2018-12-12,23.81
2018-11-12,22.52
2018-10-12,23.22
2018-07-12,22.6
2018-06-12,22.36
2018-05-12,22.03
2018-04-12,22.99
2018-03-12,22.85
11/30/2018,22.7
11/29/2018,22.23
11/28/2018,21.5
11/27/2018,21.82
11/26/2018,22.02
11/23/2018,22.4
11/22/2018,23.14
11/21/2018,22.69
11/20/2018,21.62
11/19/2018,21.08
11/16/2018,21.31
11/15/2018,21.13
11/14/2018,21.78
11/13/2018,22.26
2018-12-11,22.7
2018-09-11,21.65
2018-08-11,21.75
2018-07-11,20.77
2018-06-11,19.69
2018-05-11,19.31
2018-02-11,19.18
2018-01-11,17.62
10/31/2018,18.49
10/30/2018,18.13
10/29/2018,18.91
10/26/2018,20.59
10/25/2018,21.41
10/24/2018,21.9
10/23/2018,21.8
10/22/2018,21.92
10/19/2018,22.64
10/18/2018,22.62
10/17/2018,22.27
10/16/2018,22.53
10/15/2018,22.09
2018-12-10,24.21
2018-11-10,23.88
2018-10-10,23.65
2018-09-10,25.33
2018-08-10,26.48
2018-05-10,26.1
2018-04-10,25.18
2018-03-10,24.96
2018-02-10,24.76
2018-01-10,24.96
09/28/2018,24.63
09/27/2018,24
09/26/2018,23.42
09/25/2018,24.27
09/24/2018,25.29
09/21/2018,24.88
09/20/2018,24.72
09/19/2018,24.09
09/18/2018,22.83
09/17/2018,23.46
09/14/2018,22.42
09/13/2018,21.29
2018-12-09,25.37
2018-11-09,26.66
2018-10-09,27.42
2018-07-09,25.33
2018-06-09,23.57
2018-05-09,22.44
2018-04-09,22.25
2018-03-09,22.28
08/31/2018,23.2
08/30/2018,23.29
08/29/2018,23.19
08/28/2018,22.86
08/27/2018,23.45
08/24/2018,22.83
08/23/2018,22.47
08/22/2018,21.82
08/21/2018,21.31
08/20/2018,20.44
08/17/2018,20.04
